,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR
120,SC0,16/12/00,Hibernian,St Johnstone,2,0,H,1,0,H,10374,Stuart Dougal,14.0,5.0,6.0,2.0,0.0,0.0,5.0,4.0,16.0,18.0,6,0,2,3,0,0
121,SC0,16/12/00,Kilmarnock,Dundee,2,3,A,1,0,H,6573,Willie Young,4.0,11.0,2.0,3.0,0.0,0.0,2.0,5.0,9.0,13.0,4,5,1,5,0,0
122,SC0,16/12/00,Motherwell,Hearts,2,0,H,0,0,D,5440,Michael McCurry,22.0,19.0,8.0,9.0,2.0,1.0,7.0,7.0,14.0,10.0,0,1,0,0,0,0
123,SC0,17/12/00,Dundee United,Rangers,1,1,D,1,1,D,10750,John Rowbotham,4.0,12.0,3.0,4.0,0.0,3.0,1.0,17.0,15.0,13.0,0,8,0,0,0,0
124,SC0,23/12/00,Dundee,Aberdeen,2,2,D,0,1,A,8125,Alan Freeland,12.0,9.0,8.0,6.0,0.0,0.0,5.0,5.0,15.0,10.0,3,7,5,1,0,0
125,SC0,23/12/00,Dunfermline,Kilmarnock,1,0,H,1,0,H,6054,Bobby Orr,10.0,8.0,5.0,3.0,0.0,0.0,5.0,10.0,17.0,17.0,11,2,1,0,0,0
126,SC0,23/12/00,Hearts,Dundee United,3,1,H,2,1,H,12128,Kevin Toner,15.0,8.0,9.0,3.0,1.0,0.0,8.0,3.0,11.0,14.0,7,2,1,2,0,1
127,SC0,23/12/00,Rangers,Hibernian,1,0,H,0,0,D,49993,Kenny Clark,15.0,5.0,7.0,1.0,0.0,0.0,6.0,2.0,18.0,19.0,1,0,3,4,1,1
128,SC0,23/12/00,St Johnstone,Motherwell,2,3,A,0,3,A,3489,David Somers,14.0,8.0,5.0,5.0,0.0,0.0,11.0,2.0,15.0,19.0,3,6,2,2,0,1
129,SC0,23/12/00,St Mirren,Celtic,0,2,A,0,1,A,9487,Stuart Dougal,2.0,15.0,0.0,8.0,0.0,0.0,5.0,9.0,9.0,9.0,0,2,2,2,0,0
130,SC0,26/12/00,Dundee United,Celtic,0,4,A,0,3,A,10200,Hugh Dallas,11.0,10.0,3.0,8.0,0.0,0.0,6.0,1.0,12.0,9.0,1,1,3,0,0,0
131,SC0,26/12/00,Dunfermline,Aberdeen,3,2,H,1,2,A,7194,Gary Mitchell,9.0,8.0,5.0,5.0,0.0,0.0,6.0,9.0,12.0,7.0,1,2,0,0,0,0
132,SC0,26/12/00,Hearts,Hibernian,1,1,D,0,1,A,17619,Willie Young,10.0,10.0,5.0,6.0,0.0,0.0,6.0,6.0,17.0,13.0,0,0,3,2,0,0
133,SC0,26/12/00,Motherwell,Dundee,0,3,A,0,2,A,6183,Douglas McDonald,19.0,10.0,7.0,5.0,1.0,0.0,12.0,3.0,11.0,21.0,4,2,1,5,1,1
134,SC0,26/12/00,Rangers,St Johnstone,3,0,H,1,0,H,40150,Michael McCurry,16.0,3.0,10.0,2.0,1.0,1.0,8.0,6.0,10.0,7.0,3,1,0,1,0,0
135,SC0,26/12/00,St Mirren,Kilmarnock,1,3,A,1,0,H,5649,John Underhill,7.0,19.0,3.0,11.0,0.0,0.0,1.0,6.0,11.0,6.0,6,1,1,2,1,0
136,SC0,30/12/00,Hibernian,Dundee United,1,0,H,0,0,D,10197,Alan Freeland,16.0,5.0,7.0,4.0,0.0,0.0,9.0,3.0,15.0,15.0,7,5,2,5,0,1
