,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
73,SC0,12/11/08,Celtic,Kilmarnock,3,0,H,1,0,H,M Tumilty,17,2,11,0,7,19,4,2,0,2,0,0
74,SC0,12/11/08,Dundee United,Hibernian,2,0,H,0,0,D,E Smith,17,12,8,4,12,11,6,6,1,1,0,0
75,SC0,12/11/08,Hearts,Hamilton,1,0,H,1,0,H,D McDonald,13,6,8,2,6,12,1,3,1,1,0,0
76,SC0,12/11/08,Inverness C,Falkirk,1,1,D,0,1,A,C Thomson,8,6,3,2,15,12,10,4,1,2,0,0
77,SC0,12/11/08,Motherwell,Rangers,0,0,D,0,0,D,S Conroy,8,9,6,7,8,11,5,3,0,1,0,0
78,SC0,15/11/08,Falkirk,Motherwell,1,0,H,1,0,H,W Collum,12,9,8,4,12,15,6,1,0,0,0,0
79,SC0,15/11/08,Hibernian,Aberdeen,2,2,D,0,1,A,S O'Reilly,19,6,10,2,17,14,7,3,1,0,0,0
80,SC0,15/11/08,Inverness C,Hearts,0,1,A,0,1,A,M Tumilty,14,5,5,3,15,16,1,5,0,1,0,0
81,SC0,15/11/08,Kilmarnock,Dundee United,2,0,H,1,0,H,E Norris,5,5,1,2,14,22,2,2,3,1,0,0
82,SC0,15/11/08,Rangers,St Mirren,2,1,H,2,0,H,D Somers,19,10,6,4,12,7,5,4,2,1,0,0
83,SC0,16/11/08,Hamilton,Celtic,1,2,A,1,1,D,S Conroy,6,15,3,10,9,7,4,9,1,1,1,0
84,SC0,22/11/08,Dundee United,Hamilton,1,1,D,0,1,A,C Allan,10,8,6,4,15,23,5,2,4,3,0,1
85,SC0,22/11/08,Hearts,Falkirk,2,1,H,1,1,D,E Smith,10,7,3,3,8,18,3,3,1,2,0,0
86,SC0,22/11/08,Kilmarnock,Inverness C,1,2,A,0,2,A,S Finnie,6,5,3,1,12,13,6,2,4,3,0,0
87,SC0,22/11/08,Motherwell,Hibernian,1,4,A,1,1,D,C Richmond,6,16,5,10,13,18,5,4,2,3,0,0
88,SC0,22/11/08,Rangers,Aberdeen,2,0,H,0,0,D,C Thomson,20,9,11,5,13,14,7,6,1,1,0,0
89,SC0,22/11/08,St Mirren,Celtic,1,3,A,0,0,D,W Collum,2,15,1,8,7,12,9,5,2,1,0,0
90,SC0,29/11/08,Aberdeen,Motherwell,2,0,H,0,0,D,C Boyle,9,4,3,3,8,20,4,4,2,3,0,1
91,SC0,29/11/08,Celtic,Inverness C,1,0,H,1,0,H,D Somers,9,5,4,2,12,8,4,4,1,0,0,0
92,SC0,29/11/08,Falkirk,Hibernian,1,1,D,0,0,D,A Muir,9,10,2,2,11,19,6,9,1,1,0,0
93,SC0,29/11/08,Hamilton,Kilmarnock,1,0,H,0,0,D,I Brines,4,2,2,0,14,16,1,7,1,3,0,0
94,SC0,29/11/08,Hearts,Rangers,2,1,H,2,1,H,D McDonald,10,10,7,4,22,22,4,4,1,4,1,0
95,SC0,29/11/08,St Mirren,Dundee United,0,2,A,0,1,A,C Murray,7,11,0,4,14,20,2,5,1,0,0,0
96,SC0,06/12/08,Falkirk,St Mirren,1,2,A,0,1,A,D McDonald,11,5,4,4,18,9,5,8,2,1,1,0
97,SC0,06/12/08,Inverness C,Dundee United,1,3,A,0,0,D,B Winter,7,7,3,5,15,14,5,6,1,2,0,0
98,SC0,06/12/08,Rangers,Hamilton,7,1,H,2,1,H,C Murray,27,5,14,1,10,17,9,1,1,1,0,1
