,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
100,I1,05/11/05,Empoli,Reggina,3,0,H,1,0,H,A. Romeo,12.0,11.0,8.0,4.0,23.0,17.0,3.0,7.0,1,1,0,0
101,I1,05/11/05,Lazio,Inter,0,0,D,0,0,D,D. Messina,7.0,9.0,3.0,3.0,16.0,18.0,3.0,8.0,2,3,0,0
102,I1,06/11/05,Ascoli,Fiorentina,0,2,A,0,1,A,A. Dattilo,5.0,11.0,3.0,5.0,17.0,13.0,6.0,3.0,2,1,0,0
103,I1,06/11/05,Cagliari,Treviso,0,0,D,0,0,D,E. Morganti,14.0,7.0,7.0,2.0,19.0,23.0,6.0,1.0,2,4,0,0
104,I1,06/11/05,Juventus,Livorno,3,0,H,0,0,D,C. Brighi,18.0,7.0,7.0,3.0,21.0,19.0,8.0,5.0,3,2,0,1
105,I1,06/11/05,Messina,Roma,0,2,A,0,1,A,P. Dondarini,11.0,9.0,7.0,5.0,24.0,11.0,7.0,3.0,4,2,0,0
106,I1,06/11/05,Milan,Udinese,5,1,H,3,0,H,P. Bertini,7.0,4.0,4.0,3.0,26.0,26.0,6.0,2.0,2,3,0,0
107,I1,06/11/05,Palermo,Sampdoria,0,2,A,0,1,A,M. Trefoloni,15.0,8.0,7.0,3.0,18.0,19.0,6.0,4.0,2,4,0,0
108,I1,06/11/05,Parma,Lecce,2,0,H,1,0,H,P. Tagliavento,5.0,10.0,3.0,4.0,20.0,20.0,6.0,3.0,1,3,0,0
109,I1,06/11/05,Siena,Chievo,0,1,A,0,1,A,D. Tombolini,13.0,8.0,5.0,5.0,28.0,18.0,10.0,1.0,3,3,0,1
110,I1,19/11/05,Roma,Juventus,1,4,A,0,1,A,G. Paparesta,9.0,9.0,3.0,6.0,31.0,21.0,3.0,6.0,3,3,0,1
