,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HY,AY,HR,AR
117,F1,23/10/05,St Etienne,Marseille,2,1,H,1,1,D,11.0,14.0,5.0,5.0,2,2,0,0
118,F1,23/10/05,Troyes,Lens,1,1,D,0,1,A,8.0,12.0,6.0,7.0,2,3,0,1
119,F1,29/10/05,Bordeaux,Troyes,2,0,H,1,0,H,14.0,6.0,6.0,2.0,2,2,0,0
120,F1,29/10/05,Lens,Toulouse,1,0,H,1,0,H,9.0,3.0,3.0,1.0,2,2,0,0
121,F1,29/10/05,Lyon,Sochaux,1,0,H,0,0,D,22.0,11.0,6.0,3.0,2,2,0,0
122,F1,29/10/05,Marseille,Lille,1,1,D,1,0,H,15.0,12.0,5.0,4.0,3,2,0,0
123,F1,29/10/05,Monaco,Ajaccio,3,0,H,1,0,H,9.0,6.0,7.0,4.0,3,2,0,0
124,F1,29/10/05,Nantes,Le Mans,1,0,H,1,0,H,10.0,7.0,3.0,2.0,1,1,0,0
125,F1,29/10/05,Rennes,Metz,2,1,H,1,0,H,12.0,11.0,9.0,3.0,1,3,0,1
126,F1,29/10/05,Strasbourg,St Etienne,0,1,A,0,0,D,22.0,9.0,10.0,6.0,0,1,0,0
127,F1,30/10/05,Auxerre,Paris SG,2,0,H,0,0,D,12.0,12.0,3.0,4.0,1,4,0,0
128,F1,30/10/05,Nancy,Nice,0,0,D,0,0,D,8.0,10.0,3.0,5.0,4,2,1,0
129,F1,05/11/05,Le Mans,Marseille,3,0,H,1,0,H,13.0,10.0,5.0,5.0,2,2,0,0
130,F1,05/11/05,Metz,Ajaccio,2,0,H,0,0,D,12.0,11.0,4.0,1.0,1,2,1,0
131,F1,05/11/05,Nantes,Nancy,3,0,H,1,0,H,12.0,9.0,7.0,4.0,0,1,0,0
132,F1,05/11/05,Nice,Bordeaux,0,1,A,0,0,D,7.0,7.0,4.0,4.0,3,2,0,0
133,F1,05/11/05,St Etienne,Auxerre,1,1,D,1,0,H,13.0,8.0,5.0,4.0,1,0,0,0
134,F1,05/11/05,Toulouse,Lyon,0,1,A,0,1,A,13.0,9.0,5.0,4.0,2,1,0,0
135,F1,06/11/05,Lille,Strasbourg,2,0,H,1,0,H,12.0,7.0,4.0,0.0,1,2,0,0
136,F1,06/11/05,Paris SG,Monaco,0,0,D,0,0,D,10.0,13.0,2.0,3.0,1,1,0,0
137,F1,06/11/05,Sochaux,Lens,1,1,D,1,0,H,6.0,11.0,3.0,4.0,2,2,0,0
138,F1,06/11/05,Troyes,Rennes,2,1,H,1,1,D,17.0,12.0,7.0,5.0,1,0,0,0
139,F1,11/11/05,Ajaccio,Lens,0,0,D,0,0,D,10.0,5.0,4.0,3.0,1,1,0,0
140,F1,19/11/05,Ajaccio,Sochaux,0,1,A,0,0,D,13.0,7.0,3.0,4.0,1,4,0,0
141,F1,19/11/05,Auxerre,Lille,3,2,H,1,2,A,9.0,10.0,5.0,5.0,2,2,0,0
142,F1,19/11/05,Lens,Metz,0,0,D,0,0,D,14.0,6.0,9.0,1.0,0,2,0,0
143,F1,19/11/05,Lyon,Troyes,2,1,H,1,1,D,11.0,5.0,5.0,2.0,1,1,0,0
