,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
139,P1,03/01/18,Feirense,Porto,1,2,A,1,1,D,2,10,2,5,19,18,2,10,4,5,0,1
140,P1,03/01/18,Maritimo,Chaves,1,2,A,0,1,A,13,10,7,5,14,14,6,3,4,2,0,0
141,P1,03/01/18,Rio Ave,Pacos Ferreira,4,2,H,1,0,H,15,8,8,5,12,21,5,3,0,1,1,0
142,P1,04/01/18,Portimonense,Belenenses,0,0,D,0,0,D,12,7,3,3,16,14,3,3,1,1,0,0
143,P1,04/01/18,Setubal,Estoril,2,2,D,0,0,D,5,8,3,3,25,20,8,4,2,2,0,0
144,P1,06/01/18,Sp Braga,Rio Ave,2,1,H,1,1,D,12,12,4,5,22,16,5,5,4,2,0,0
145,P1,07/01/18,Chaves,Aves,1,1,D,0,1,A,9,8,5,5,14,17,9,0,1,3,0,0
146,P1,07/01/18,Moreirense,Benfica,0,2,A,0,1,A,5,13,2,11,17,7,2,10,1,0,0,0
147,P1,07/01/18,Porto,Guimaraes,4,2,H,0,1,A,14,4,8,2,13,16,5,3,0,3,0,0
148,P1,07/01/18,Sp Lisbon,Maritimo,5,0,H,1,0,H,13,6,6,2,13,15,7,5,0,1,0,0
149,P1,08/01/18,Estoril,Feirense,0,2,A,0,1,A,6,2,1,2,19,24,5,4,2,4,0,0
150,P1,08/01/18,Pacos Ferreira,Portimonense,1,1,D,0,0,D,11,7,5,5,16,13,10,3,2,5,0,1
151,P1,09/01/18,Belenenses,Boavista,1,1,D,1,0,H,7,6,4,4,16,13,5,4,1,3,0,0
152,P1,09/01/18,Tondela,Setubal,1,1,D,1,1,D,11,5,2,2,17,16,4,7,1,2,0,0
153,P1,12/01/18,Chaves,Guimaraes,4,3,H,3,3,D,19,10,8,7,9,11,5,2,1,3,0,0
