,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HFKC,AFKC,HC,AC,HY,AY,HR,AR
147,B1,16/12/17,Lokeren,Waasland-Beveren,1,1,D,0,0,D,7,6,4,1,15,19,6,6,2,2,0,0
148,B1,16/12/17,Standard,Gent,0,0,D,0,0,D,8,8,4,3,18,25,8,7,4,6,0,0
149,B1,17/12/17,Charleroi,Genk,1,1,D,0,0,D,7,2,4,2,14,18,4,3,1,2,0,0
150,B1,17/12/17,Club Brugge,Anderlecht,5,0,H,2,0,H,11,6,9,1,15,13,7,2,0,2,0,0
151,B1,17/12/17,Waregem,Antwerp,1,2,A,0,2,A,14,6,8,3,17,22,9,2,2,4,0,0
152,B1,20/12/17,Mechelen,Club Brugge,0,3,A,0,2,A,5,14,3,10,16,13,3,6,4,2,2,0
153,B1,21/12/17,Antwerp,Lokeren,1,2,A,0,1,A,20,9,7,5,23,11,7,0,3,1,0,0
154,B1,21/12/17,Gent,Charleroi,1,0,H,0,0,D,16,4,9,2,18,16,6,2,4,3,0,0
155,B1,22/12/17,Anderlecht,Eupen,1,0,H,1,0,H,11,3,6,1,20,26,10,3,0,0,0,0
156,B1,22/12/17,Waasland-Beveren,Oostende,1,3,A,0,1,A,18,7,3,5,16,21,11,5,2,4,0,0
157,B1,23/12/17,Genk,Kortrijk,2,3,A,0,1,A,11,8,5,3,9,27,11,3,2,5,1,0
158,B1,23/12/17,Mouscron,Waregem,2,1,H,1,1,D,14,7,6,2,23,21,6,3,3,5,0,1
159,B1,23/12/17,Standard,St Truiden,1,1,D,0,0,D,9,7,3,2,17,13,8,5,5,5,0,0
160,B1,26/12/17,Anderlecht,Gent,1,0,H,0,0,D,6,7,4,2,23,23,3,2,3,3,0,1
161,B1,26/12/17,Club Brugge,Mouscron,4,2,H,0,1,A,8,8,8,4,20,15,5,1,3,2,0,1
162,B1,26/12/17,Eupen,Waasland-Beveren,1,0,H,0,0,D,10,6,3,2,17,21,10,2,5,3,1,0
163,B1,26/12/17,Lokeren,Mechelen,2,0,H,0,0,D,8,9,7,4,15,14,3,5,1,1,0,0
164,B1,26/12/17,Waregem,Charleroi,0,4,A,0,2,A,5,18,2,10,12,9,1,5,1,0,2,0
165,B1,27/12/17,Kortrijk,Standard,2,1,H,0,0,D,6,10,2,5,16,27,7,8,3,5,0,1
166,B1,27/12/17,St Truiden,Antwerp,0,3,A,0,2,A,6,10,2,5,13,25,3,5,4,3,0,0
167,B1,16/01/18,Oostende,Genk,1,2,A,0,1,A,18,10,11,2,15,16,8,4,1,4,0,0
168,B1,19/01/18,Charleroi,Mouscron,2,0,H,1,0,H,8,6,3,3,20,19,2,3,1,2,0,0
169,B1,20/01/18,Mechelen,Waregem,0,2,A,0,0,D,3,8,1,5,16,23,3,1,5,3,0,0
170,B1,20/01/18,Oostende,Kortrijk,2,1,H,2,1,H,14,19,11,12,15,19,4,8,2,4,0,0
171,B1,20/01/18,Standard,Eupen,3,2,H,2,2,D,14,4,7,3,21,19,10,1,1,4,0,1
172,B1,20/01/18,Waasland-Beveren,St Truiden,3,1,H,2,1,H,12,12,7,10,7,15,4,7,1,0,0,0
173,B1,21/01/18,Antwerp,Club Brugge,2,2,D,2,0,H,6,8,4,4,15,17,5,5,2,4,0,0
174,B1,21/01/18,Genk,Anderlecht,0,1,A,0,1,A,10,8,4,3,10,20,3,8,3,5,1,0
175,B1,21/01/18,Gent,Lokeren,3,0,H,1,0,H,14,8,5,3,12,13,6,5,2,1,0,0
176,B1,23/01/18,Mouscron,Kortrijk,0,3,A,0,0,D,9,10,4,6,14,19,2,2,2,2,0,0
