,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
121,B1,30/11/2020,19:45,Antwerp,Oud-Heverlee Leuven,3,2,H,2,2,D,29,16,9,4,9,20,11,2,3,5,0,0
122,B1,01/12/2020,16:00,Mouscron,St Truiden,3,2,H,1,0,H,10,18,6,7,12,13,2,8,3,3,0,0
123,B1,02/12/2020,16:00,Charleroi,Waasland-Beveren,0,2,A,0,1,A,11,11,4,4,14,9,4,7,1,3,1,0
124,B1,03/12/2020,16:00,Eupen,Mechelen,1,1,D,1,0,H,10,25,3,6,7,7,2,8,0,2,0,0
125,B1,04/12/2020,19:45,Waregem,Anderlecht,2,2,D,1,1,D,8,21,2,6,13,12,1,4,1,2,0,0
126,B1,05/12/2020,15:15,Waasland-Beveren,Mouscron,2,0,H,0,0,D,12,6,5,2,9,8,7,2,1,2,0,0
127,B1,05/12/2020,17:30,Oud-Heverlee Leuven,Cercle Brugge,2,1,H,1,0,H,11,15,4,5,10,11,1,5,2,2,1,0
128,B1,05/12/2020,19:45,Club Brugge,St Truiden,1,0,H,0,0,D,16,6,5,3,11,6,3,3,0,1,0,0
129,B1,06/12/2020,12:30,Genk,Antwerp,4,2,H,2,1,H,20,10,10,2,8,12,5,4,1,3,0,0
130,B1,06/12/2020,15:00,Beerschot VA,Eupen,0,1,A,0,1,A,19,18,4,8,8,15,11,7,3,2,0,0
131,B1,06/12/2020,17:15,Standard,Mechelen,2,2,D,1,0,H,17,14,5,9,10,13,7,4,2,1,0,0
132,B1,06/12/2020,19:45,Oostende,Gent,2,1,H,0,1,A,7,7,3,2,10,19,3,6,2,4,0,0
133,B1,07/12/2020,19:45,Charleroi,Kortrijk,0,0,D,0,0,D,1,13,0,6,12,11,7,7,4,2,0,0
134,B1,08/12/2020,16:00,Oud-Heverlee Leuven,Mouscron,2,0,H,0,0,D,11,8,3,5,9,18,2,2,0,5,0,0
135,B1,11/12/2020,19:45,Anderlecht,Genk,1,0,H,0,0,D,15,4,5,1,19,12,7,5,3,3,0,0
136,B1,12/12/2020,15:15,Mouscron,Beerschot VA,3,1,H,1,0,H,16,11,7,2,13,9,2,7,0,2,0,0
137,B1,12/12/2020,17:30,Cercle Brugge,Oostende,0,1,A,0,1,A,8,14,4,4,12,9,3,3,4,0,1,0
138,B1,12/12/2020,17:30,Kortrijk,Oud-Heverlee Leuven,0,3,A,0,0,D,20,10,5,4,13,13,12,1,2,1,0,0
139,B1,12/12/2020,19:45,St Truiden,Charleroi,1,2,A,1,1,D,17,11,3,4,5,17,9,5,2,2,1,0
140,B1,13/12/2020,12:30,Antwerp,Club Brugge,0,2,A,0,1,A,9,13,1,5,11,15,2,9,3,1,1,0
141,B1,13/12/2020,17:15,Gent,Standard,2,1,H,1,1,D,14,8,6,3,23,9,3,3,0,1,0,0
142,B1,13/12/2020,19:45,Mechelen,Waasland-Beveren,2,3,A,1,0,H,12,10,5,5,13,11,3,1,0,0,1,0
143,B1,15/12/2020,17:45,Cercle Brugge,Charleroi,3,4,A,2,0,H,10,21,5,7,13,13,2,9,3,2,1,0
144,B1,15/12/2020,17:45,Mouscron,Oud-Heverlee Leuven,2,2,D,0,1,A,17,12,7,9,9,9,6,4,5,2,0,0
145,B1,15/12/2020,20:00,Anderlecht,Oostende,2,1,H,1,0,H,9,14,5,3,12,16,2,3,0,3,1,0
146,B1,16/12/2020,17:45,Antwerp,Waregem,0,1,A,0,1,A,11,17,2,5,11,11,2,4,2,3,0,0
147,B1,16/12/2020,20:00,Gent,Waasland-Beveren,3,0,H,1,0,H,17,9,7,1,12,17,4,4,1,2,0,0
148,B1,16/12/2020,20:00,Kortrijk,Standard,2,1,H,2,0,H,10,17,4,6,12,17,6,5,3,1,0,0
149,B1,17/12/2020,19:45,Mechelen,Club Brugge,0,3,A,0,0,D,10,21,3,8,10,11,6,3,3,0,0,0
150,B1,18/12/2020,19:45,Charleroi,Anderlecht,1,0,H,0,0,D,10,7,4,2,15,12,3,3,3,0,0,0
151,B1,19/12/2020,17:30,Waregem,St Truiden,0,2,A,0,0,D,12,11,1,6,17,16,6,4,4,2,1,0
152,B1,19/12/2020,19:45,Genk,Kortrijk,2,0,H,1,0,H,13,7,5,1,14,16,4,1,1,2,0,0
153,B1,20/12/2020,12:30,Club Brugge,Gent,0,1,A,0,0,D,22,6,9,2,13,18,15,0,3,3,0,0
154,B1,20/12/2020,15:00,Oud-Heverlee Leuven,Mechelen,1,2,A,0,2,A,12,29,5,12,12,12,3,3,3,4,0,0
155,B1,20/12/2020,17:15,Standard,Mouscron,0,1,A,0,1,A,13,10,6,4,13,14,5,1,4,1,0,0
156,B1,20/12/2020,19:45,Waasland-Beveren,Antwerp,0,3,A,0,3,A,9,16,1,7,16,14,5,7,1,4,0,0
157,B1,26/12/2020,13:00,Club Brugge,Eupen,3,0,H,0,0,D,14,9,6,2,9,16,12,2,0,2,1,0
158,B1,26/12/2020,15:15,Waregem,Cercle Brugge,1,0,H,0,0,D,7,14,3,3,17,15,5,7,3,2,0,0
159,B1,26/12/2020,17:30,Kortrijk,Gent,1,0,H,0,0,D,9,13,5,6,21,8,4,3,3,0,0,1
160,B1,26/12/2020,17:30,Oud-Heverlee Leuven,Oostende,1,2,A,1,0,H,9,20,4,6,12,9,4,9,1,3,0,0
161,B1,26/12/2020,19:45,Standard,St Truiden,1,2,A,0,2,A,18,9,7,5,19,14,7,3,2,2,0,1
162,B1,27/12/2020,12:30,Antwerp,Charleroi,2,1,H,0,0,D,17,6,6,1,13,12,8,2,1,1,0,0
163,B1,27/12/2020,15:00,Genk,Waasland-Beveren,1,1,D,1,1,D,13,8,2,2,9,11,6,5,0,3,0,0
164,B1,27/12/2020,17:15,Anderlecht,Beerschot VA,2,0,H,1,0,H,27,8,6,2,9,20,7,1,1,4,0,0
165,B1,27/12/2020,19:45,Mechelen,Mouscron,2,1,H,1,0,H,10,16,5,6,8,15,5,3,0,1,0,0
166,B1,29/12/2020,19:45,Eupen,Waregem,2,3,A,1,0,H,17,16,7,9,21,8,3,6,3,2,0,0
167,B1,30/12/2020,19:45,St Truiden,Beerschot VA,1,0,H,1,0,H,9,12,3,4,10,14,6,3,3,0,0,0
168,B1,06/01/2021,19:45,Eupen,Genk,1,4,A,1,2,A,20,9,3,4,15,10,6,1,3,1,0,0
169,B1,09/01/2021,15:15,Waregem,Mouscron,1,0,H,1,0,H,6,17,1,5,13,15,2,10,3,2,0,0
170,B1,09/01/2021,17:30,Cercle Brugge,Eupen,1,2,A,0,0,D,14,12,5,5,12,11,6,8,2,3,0,0
171,B1,09/01/2021,17:30,Kortrijk,Genk,2,1,H,1,1,D,13,11,6,4,19,11,5,3,1,2,0,0
172,B1,09/01/2021,19:45,Oostende,Charleroi,3,2,H,1,1,D,19,11,6,3,15,7,6,3,2,0,0,0
173,B1,10/01/2021,12:30,Mechelen,Antwerp,3,0,H,0,0,D,12,9,5,0,14,10,6,4,1,3,0,0
174,B1,10/01/2021,15:00,Beerschot VA,Gent,1,1,D,1,1,D,7,16,3,6,11,11,2,11,4,2,0,0
175,B1,10/01/2021,17:15,Oud-Heverlee Leuven,Anderlecht,1,0,H,0,0,D,5,19,1,3,10,9,1,9,1,3,0,0
176,B1,10/01/2021,19:45,St Truiden,Club Brugge,1,2,A,0,2,A,10,12,3,3,8,13,5,7,1,2,1,0
177,B1,11/01/2021,19:45,Standard,Waasland-Beveren,3,1,H,1,0,H,20,10,8,5,16,11,5,5,3,1,0,0
178,B1,12/01/2021,19:45,Oostende,Eupen,1,1,D,0,0,D,18,6,4,2,15,10,10,2,2,3,0,1
179,B1,13/01/2021,17:30,Beerschot VA,Cercle Brugge,1,1,D,1,0,H,3,14,1,2,9,12,2,7,2,1,0,0
180,B1,15/01/2021,19:45,Eupen,Anderlecht,2,0,H,0,0,D,18,12,4,5,16,9,3,3,2,3,0,1
181,B1,16/01/2021,15:15,Oostende,Kortrijk,2,1,H,1,0,H,7,11,2,2,20,13,2,2,2,1,0,0
182,B1,16/01/2021,17:30,Mouscron,Genk,2,0,H,1,0,H,17,12,12,2,20,16,8,4,2,2,0,1
183,B1,16/01/2021,17:30,Waasland-Beveren,Waregem,1,5,A,0,2,A,13,18,7,10,8,7,8,1,2,1,0,0
184,B1,16/01/2021,19:45,Charleroi,Mechelen,0,1,A,0,0,D,10,10,5,1,14,21,7,4,1,1,0,0
185,B1,17/01/2021,12:30,Gent,Antwerp,0,1,A,0,0,D,10,7,4,1,14,8,5,4,1,3,0,0
186,B1,17/01/2021,15:00,Cercle Brugge,Standard,0,1,A,0,1,A,7,5,0,3,22,13,7,3,1,1,0,0
187,B1,17/01/2021,17:15,Beerschot VA,Club Brugge,0,3,A,0,2,A,10,15,4,6,15,6,5,7,3,2,0,0
188,B1,17/01/2021,19:45,St Truiden,Oud-Heverlee Leuven,3,1,H,2,1,H,12,9,4,4,11,17,2,4,2,0,0,1
