,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
106,N1,19/11/17,Utrecht,Excelsior,3,1,H,1,0,H,19,15,7,7,6,9,9,8,0,1,0,0
107,N1,19/11/17,Zwolle,PSV Eindhoven,0,1,A,0,0,D,19,11,7,5,14,17,6,5,1,3,0,0
108,N1,24/11/17,AZ Alkmaar,Twente,2,0,H,0,0,D,24,10,7,3,9,12,4,4,0,1,0,0
109,N1,25/11/17,Groningen,Feyenoord,0,2,A,0,0,D,9,15,1,8,7,6,4,7,0,0,0,0
110,N1,25/11/17,Heerenveen,Zwolle,1,2,A,1,1,D,11,9,6,4,16,10,6,2,3,3,0,0
111,N1,25/11/17,Heracles,NAC Breda,2,1,H,2,1,H,19,13,9,3,8,10,6,5,1,2,0,0
112,N1,25/11/17,VVV Venlo,Willem II,3,3,D,1,0,H,17,10,9,6,7,18,8,2,0,4,0,0
113,N1,26/11/17,Ajax,Roda,5,1,H,1,1,D,22,8,8,4,5,7,10,2,0,1,0,0
114,N1,26/11/17,Excelsior,PSV Eindhoven,1,2,A,0,2,A,11,22,4,8,16,12,6,5,2,1,0,0
115,N1,26/11/17,Sparta Rotterdam,Utrecht,1,3,A,0,1,A,11,12,3,6,11,18,8,7,1,2,0,0
116,N1,26/11/17,Vitesse,Den Haag,2,0,H,0,0,D,14,5,5,0,9,11,7,3,1,3,0,1
117,N1,01/12/17,Zwolle,Utrecht,1,1,D,0,1,A,14,13,4,7,9,18,6,2,1,2,0,0
118,N1,02/12/17,Den Haag,Groningen,0,3,A,0,1,A,14,11,5,5,7,14,6,3,0,3,0,0
119,N1,02/12/17,Feyenoord,Vitesse,1,0,H,1,0,H,18,13,8,2,12,13,5,8,1,1,0,0
120,N1,02/12/17,Twente,Ajax,3,3,D,0,2,A,19,24,10,12,18,17,4,10,4,3,0,0
121,N1,02/12/17,Willem II,Heracles,3,1,H,3,0,H,27,11,5,3,8,16,8,3,0,0,0,0
122,N1,03/12/17,NAC Breda,Excelsior,3,1,H,1,0,H,22,12,8,4,10,13,4,2,3,1,0,0
123,N1,03/12/17,PSV Eindhoven,Sparta Rotterdam,1,0,H,0,0,D,22,6,6,4,13,16,9,5,1,1,0,0
124,N1,03/12/17,Roda,Heerenveen,2,1,H,0,0,D,6,18,3,6,10,9,1,4,2,0,0,0
125,N1,03/12/17,VVV Venlo,AZ Alkmaar,0,2,A,0,0,D,14,18,5,3,8,11,3,4,0,1,0,0
126,N1,08/12/17,Willem II,NAC Breda,1,1,D,1,0,H,15,10,3,1,9,7,7,4,0,2,0,0
127,N1,09/12/17,AZ Alkmaar,Heracles,5,0,H,0,0,D,25,4,13,1,8,9,10,0,0,0,0,0
128,N1,09/12/17,Excelsior,Zwolle,1,2,A,0,0,D,11,15,4,8,13,11,3,4,6,0,1,0
129,N1,09/12/17,Heerenveen,VVV Venlo,2,2,D,1,1,D,18,11,8,5,11,12,6,4,1,1,0,0
130,N1,09/12/17,Twente,Den Haag,2,3,A,2,2,D,14,11,5,7,15,21,9,5,2,3,0,0
131,N1,10/12/17,Ajax,PSV Eindhoven,3,0,H,0,0,D,11,7,3,3,13,16,8,4,3,4,0,0
132,N1,10/12/17,Roda,Groningen,2,2,D,2,1,H,11,9,5,2,10,12,3,3,1,0,1,0
133,N1,12/12/17,NAC Breda,Twente,1,2,A,0,0,D,19,20,2,4,15,18,4,7,2,4,1,0
134,N1,12/12/17,Zwolle,AZ Alkmaar,1,1,D,1,1,D,14,10,5,3,12,16,4,4,2,5,0,0
135,N1,13/12/17,Den Haag,Roda,3,2,H,1,2,A,17,6,7,2,18,17,5,3,1,3,0,1
136,N1,13/12/17,Feyenoord,Heerenveen,1,1,D,1,1,D,19,11,9,3,8,9,8,6,0,2,0,0
137,N1,13/12/17,Groningen,PSV Eindhoven,3,3,D,1,3,A,12,15,4,8,11,7,8,5,3,2,0,0
138,N1,13/12/17,Vitesse,Willem II,2,2,D,1,1,D,27,4,8,2,7,14,13,1,1,1,0,0
139,N1,13/12/17,VVV Venlo,Utrecht,0,1,A,0,1,A,14,17,2,4,5,11,8,5,1,3,0,0
140,N1,14/12/17,Ajax,Excelsior,3,1,H,1,1,D,22,11,7,3,11,13,7,1,1,5,0,0
141,N1,14/12/17,Heracles,Sparta Rotterdam,3,2,H,1,0,H,15,20,5,11,14,11,12,8,0,1,0,0
142,N1,16/12/17,Heerenveen,NAC Breda,1,0,H,0,0,D,17,9,5,2,23,14,10,2,1,0,0,0
143,N1,16/12/17,PSV Eindhoven,Den Haag,3,0,H,3,0,H,18,9,8,6,8,7,4,5,1,5,0,1
144,N1,16/12/17,Roda,VVV Venlo,0,1,A,0,0,D,8,16,0,7,15,9,7,6,0,1,1,0
145,N1,16/12/17,Twente,Vitesse,1,1,D,1,1,D,6,11,3,5,11,14,4,13,0,3,0,0
