,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
148,N1,16/01/2021,20:00,AZ Alkmaar,Den Haag,2,1,H,0,0,D,19,3,5,2,5,6,17,0,0,0,0,0
149,N1,17/01/2021,11:15,Waalwijk,Willem II,1,1,D,1,0,H,17,13,7,6,12,21,2,1,1,2,0,0
150,N1,17/01/2021,13:30,Groningen,Twente,2,2,D,0,2,A,17,10,6,5,8,9,6,6,1,2,0,0
151,N1,17/01/2021,13:30,VVV Venlo,Heerenveen,1,1,D,0,0,D,7,20,2,7,9,8,1,8,2,1,0,0
152,N1,17/01/2021,15:45,Ajax,Feyenoord,1,0,H,1,0,H,12,9,2,4,17,13,6,3,0,0,0,0
153,N1,22/01/2021,19:00,Willem II,Zwolle,1,3,A,1,0,H,9,21,4,6,11,12,5,4,1,1,1,0
154,N1,23/01/2021,15:30,Den Haag,FC Emmen,0,0,D,0,0,D,13,13,4,4,4,6,7,4,2,0,0,0
155,N1,23/01/2021,17:45,Vitesse,Groningen,1,0,H,1,0,H,15,4,4,1,17,19,6,3,2,2,0,0
156,N1,23/01/2021,19:00,PSV Eindhoven,Waalwijk,2,0,H,1,0,H,12,7,5,3,13,4,3,4,1,1,0,0
157,N1,23/01/2021,20:00,Heracles,Heerenveen,1,0,H,0,0,D,9,6,3,2,9,11,6,4,1,1,0,0
158,N1,24/01/2021,11:15,For Sittard,Ajax,1,2,A,0,1,A,8,19,5,8,10,17,4,10,1,2,1,0
159,N1,24/01/2021,13:30,Twente,VVV Venlo,0,1,A,0,0,D,21,7,5,6,15,14,8,1,2,1,0,0
160,N1,24/01/2021,13:30,Utrecht,Sparta Rotterdam,1,0,H,0,0,D,11,11,2,1,10,8,6,5,1,1,0,0
161,N1,24/01/2021,15:45,Feyenoord,AZ Alkmaar,2,3,A,1,1,D,13,13,6,8,17,8,4,4,1,0,0,0
162,N1,26/01/2021,17:45,Zwolle,Heracles,2,2,D,0,2,A,10,7,4,4,13,3,6,2,1,2,0,0
163,N1,26/01/2021,19:00,FC Emmen,PSV Eindhoven,0,2,A,0,0,D,5,20,2,9,9,5,4,11,0,0,0,0
164,N1,26/01/2021,20:00,Groningen,Den Haag,3,0,H,2,0,H,14,7,6,1,13,14,4,5,0,2,0,0
165,N1,27/01/2021,17:45,AZ Alkmaar,Utrecht,0,1,A,0,0,D,11,12,3,5,12,14,5,2,1,2,0,0
166,N1,27/01/2021,19:00,VVV Venlo,Vitesse,4,1,H,3,0,H,11,24,6,5,15,14,5,4,1,1,0,0
167,N1,27/01/2021,19:00,Waalwijk,For Sittard,1,2,A,0,0,D,14,15,7,9,13,8,8,5,1,1,0,0
168,N1,27/01/2021,20:00,Heerenveen,Feyenoord,3,0,H,2,0,H,15,15,6,1,11,5,6,9,1,1,0,0
169,N1,28/01/2021,20:00,Ajax,Willem II,3,1,H,0,0,D,27,7,9,4,14,6,7,1,2,0,0,0
170,N1,28/01/2021,17:45,Sparta Rotterdam,Twente,0,0,D,0,0,D,12,6,5,2,4,7,1,5,1,0,0,0
171,N1,30/01/2021,15:30,Heracles,Groningen,1,0,H,1,0,H,8,13,3,3,14,15,5,4,0,1,0,0
172,N1,30/01/2021,17:45,Utrecht,Zwolle,3,3,D,1,2,A,19,10,8,4,13,13,16,3,2,1,0,1
173,N1,30/01/2021,19:00,For Sittard,VVV Venlo,3,2,H,1,0,H,9,12,7,3,16,10,2,4,2,3,0,0
174,N1,30/01/2021,20:00,Vitesse,Waalwijk,1,1,D,0,0,D,11,11,6,5,11,11,11,5,1,2,0,0
175,N1,31/01/2021,11:15,Twente,Heerenveen,0,0,D,0,0,D,19,4,4,1,10,7,8,5,2,1,0,0
176,N1,31/01/2021,13:30,Feyenoord,PSV Eindhoven,3,1,H,3,0,H,6,17,5,6,12,10,0,13,1,2,0,0
177,N1,31/01/2021,13:30,Willem II,FC Emmen,2,0,H,1,0,H,12,18,4,2,14,12,1,5,0,1,0,0
178,N1,31/01/2021,15:45,AZ Alkmaar,Ajax,0,3,A,0,1,A,8,13,3,7,7,13,2,3,0,0,0,0
179,N1,31/01/2021,15:45,Den Haag,Sparta Rotterdam,1,1,D,1,0,H,8,12,5,4,11,17,4,3,4,1,0,0
180,N1,05/02/2021,19:00,For Sittard,Heracles,0,1,A,0,1,A,15,10,3,5,9,12,7,6,2,2,0,0
181,N1,06/02/2021,13:00,FC Emmen,AZ Alkmaar,0,1,A,0,0,D,6,16,1,5,10,8,2,8,0,1,0,0
182,N1,06/02/2021,13:00,Zwolle,Waalwijk,1,1,D,0,1,A,19,7,8,3,7,11,6,1,0,0,0,0
183,N1,06/02/2021,15:30,Heerenveen,Vitesse,1,0,H,0,0,D,11,11,3,3,9,8,3,4,0,1,0,0
184,N1,06/02/2021,15:30,PSV Eindhoven,Twente,3,0,H,2,0,H,25,5,8,2,6,7,7,4,0,0,0,1
185,N1,12/02/2021,17:45,Waalwijk,FC Emmen,1,0,H,0,0,D,19,5,6,2,9,8,8,2,0,0,0,0
186,N1,13/02/2021,11:00,Groningen,Zwolle,1,0,H,1,0,H,14,12,7,4,11,15,6,3,1,1,0,1
187,N1,13/02/2021,13:15,Sparta Rotterdam,For Sittard,1,2,A,1,1,D,16,8,6,3,9,13,3,4,2,2,0,0
188,N1,13/02/2021,15:30,Den Haag,PSV Eindhoven,2,2,D,1,0,H,5,35,2,15,5,11,1,17,0,1,0,0
189,N1,13/02/2021,17:45,Heracles,Ajax,0,2,A,0,1,A,14,7,2,3,11,13,5,2,1,1,0,0
190,N1,14/02/2021,11:15,AZ Alkmaar,Heerenveen,3,1,H,1,0,H,15,5,9,4,10,8,8,2,1,2,0,0
191,N1,14/02/2021,13:30,Feyenoord,Willem II,5,0,H,1,0,H,23,6,12,3,12,8,9,4,1,1,0,0
192,N1,14/02/2021,13:30,Utrecht,VVV Venlo,3,1,H,0,0,D,24,11,11,3,16,7,6,3,0,0,0,0
193,N1,14/02/2021,15:45,Vitesse,Twente,0,2,A,0,1,A,10,6,1,3,10,11,4,2,1,1,0,0
194,N1,19/02/2021,19:00,Willem II,Utrecht,0,6,A,0,3,A,7,20,1,8,6,8,3,1,1,0,0,0
195,N1,20/02/2021,17:45,FC Emmen,Zwolle,3,2,H,2,1,H,14,10,5,2,18,8,7,3,2,1,0,0
196,N1,20/02/2021,19:00,VVV Venlo,AZ Alkmaar,1,4,A,1,1,D,5,20,1,10,13,9,2,12,0,1,1,0
197,N1,20/02/2021,20:00,For Sittard,Den Haag,2,0,H,1,0,H,13,4,5,1,6,6,5,3,0,1,0,0
198,N1,21/02/2021,11:15,Twente,Feyenoord,2,2,D,2,1,H,9,10,6,2,9,9,4,3,1,2,0,0
199,N1,21/02/2021,13:30,Heerenveen,Groningen,1,1,D,1,0,H,8,16,2,2,12,7,6,4,0,0,0,0
200,N1,21/02/2021,13:30,Waalwijk,Heracles,3,0,H,2,0,H,8,7,5,0,7,8,5,3,1,2,0,0
201,N1,21/02/2021,15:45,PSV Eindhoven,Vitesse,3,1,H,0,1,A,22,10,15,3,19,8,1,1,2,0,0,0
202,N1,21/02/2021,19:00,Ajax,Sparta Rotterdam,4,2,H,3,0,H,16,12,7,4,4,9,3,3,0,1,0,0
203,N1,24/02/2021,15:30,Willem II,Den Haag,1,1,D,0,0,D,13,8,3,3,14,7,9,1,4,0,1,1
204,N1,24/02/2021,17:45,Groningen,Feyenoord,0,0,D,0,0,D,8,19,3,4,13,9,3,7,0,0,0,0
205,N1,26/02/2021,19:00,Zwolle,Heerenveen,4,1,H,0,1,A,21,10,10,4,9,18,4,4,1,2,0,0
206,N1,27/02/2021,15:30,Utrecht,FC Emmen,0,1,A,0,1,A,12,13,5,4,16,14,8,4,5,4,0,0
207,N1,27/02/2021,17:45,Den Haag,Waalwijk,0,0,D,0,0,D,10,4,2,0,11,13,6,3,2,1,0,0
