,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HFKC,AFKC,HC,AC,HY,AY,HR,AR
140,G1,21/01/18,Lamia,Asteras Tripolis,1,0,H,0.0,0.0,D,5.0,13.0,3.0,7.0,13.0,19.0,2.0,9.0,2.0,1.0,0.0,0.0
141,G1,21/01/18,Olympiakos,Xanthi,3,0,H,1.0,0.0,H,19.0,7.0,11.0,2.0,14.0,17.0,4.0,2.0,2.0,4.0,0.0,1.0
142,G1,21/01/18,Panetolikos,Panionios,1,1,D,1.0,0.0,H,7.0,2.0,4.0,1.0,15.0,17.0,2.0,3.0,1.0,1.0,0.0,0.0
143,G1,21/01/18,PAOK,Apollon,3,0,H,2.0,0.0,H,16.0,3.0,10.0,1.0,21.0,7.0,8.0,1.0,1.0,3.0,0.0,1.0
144,G1,27/01/18,AEK,Lamia,2,0,H,1.0,0.0,H,22.0,5.0,9.0,2.0,20.0,16.0,18.0,4.0,1.0,3.0,0.0,0.0
145,G1,27/01/18,Apollon,Panathinaikos,0,0,D,0.0,0.0,D,5.0,5.0,1.0,1.0,15.0,20.0,4.0,1.0,3.0,5.0,0.0,1.0
146,G1,27/01/18,Kerkyra,Platanias,2,0,H,1.0,0.0,H,9.0,2.0,2.0,1.0,13.0,14.0,4.0,6.0,4.0,4.0,0.0,1.0
147,G1,28/01/18,Asteras Tripolis,Olympiakos,1,1,D,1.0,1.0,D,11.0,11.0,6.0,8.0,27.0,18.0,4.0,3.0,6.0,3.0,0.0,0.0
148,G1,28/01/18,Atromitos,Larisa,1,0,H,0.0,0.0,D,15.0,3.0,7.0,1.0,11.0,16.0,8.0,0.0,2.0,5.0,0.0,0.0
149,G1,28/01/18,Panetolikos,PAOK,0,1,A,0.0,0.0,D,6.0,10.0,4.0,6.0,16.0,16.0,3.0,8.0,5.0,3.0,0.0,0.0
150,G1,28/01/18,Panionios,Giannina,0,1,A,0.0,0.0,D,11.0,4.0,6.0,3.0,16.0,23.0,5.0,1.0,2.0,4.0,0.0,0.0
151,G1,28/01/18,Xanthi,Levadeiakos,2,1,H,0.0,1.0,A,11.0,4.0,4.0,3.0,20.0,14.0,8.0,0.0,3.0,3.0,0.0,0.0
152,G1,03/02/18,Asteras Tripolis,Xanthi,1,1,D,1.0,1.0,D,11.0,7.0,8.0,6.0,22.0,22.0,8.0,3.0,3.0,4.0,0.0,0.0
153,G1,03/02/18,Larisa,Panionios,0,0,D,0.0,0.0,D,9.0,7.0,1.0,1.0,19.0,14.0,13.0,3.0,4.0,3.0,0.0,0.0
154,G1,03/02/18,Panathinaikos,Panetolikos,0,0,D,0.0,0.0,D,9.0,5.0,2.0,2.0,23.0,18.0,9.0,2.0,1.0,1.0,0.0,0.0
155,G1,04/02/18,Giannina,PAOK,1,3,A,0.0,3.0,A,9.0,13.0,6.0,9.0,18.0,24.0,4.0,9.0,3.0,3.0,0.0,0.0
